original_path,new_path,category,new_filename
0ensns.c,Organized_C_Programs\Mathematics\multiple_mathematical_concepts_demo_menu_driven.c,Mathematics,multiple_mathematical_concepts_demo_menu_driven.c
0ensns_1.c,Organized_C_Programs\Mathematics\multiple_mathematical_concepts_demo_v3.c,Mathematics,multiple_mathematical_concepts_demo_v3.c
1+11+111.c,Organized_C_Programs\Mathematics\repeated_digit_series_v7.c,Mathematics,repeated_digit_series_v7.c
1+11+111_1.c,Organized_C_Programs\Mathematics\repeated_digit_series_recursive.c,Mathematics,repeated_digit_series_recursive.c
1-1_2+1_3-1_4.c,Organized_C_Programs\Mathematics\alternating_harmonic_series_v2.c,Mathematics,alternating_harmonic_series_v2.c
1-1_2+1_3-1_4_1.c,Organized_C_Programs\Mathematics\alternating_harmonic_series_basic.c,Mathematics,alternating_harmonic_series_basic.c
10.c,Organized_C_Programs\Mathematics\square_root_table_generation_v2.c,Mathematics,square_root_table_generation_v2.c
10_1.c,Organized_C_Programs\Mathematics\square_root_table_generation_basic.c,Mathematics,square_root_table_generation_basic.c
11.c,Organized_C_Programs\Basics\numbers_divisibility_pattern_v2.c,Basics,numbers_divisibility_pattern_v2.c
11_1.c,Organized_C_Programs\Basics\numbers_divisibility_pattern_basic.c,Basics,numbers_divisibility_pattern_basic.c
12(x) .c,Organized_C_Programs\Mathematics\inverse_square_series_v2.c,Mathematics,inverse_square_series_v2.c
12(x) _1.c,Organized_C_Programs\Mathematics\inverse_square_series_basic.c,Mathematics,inverse_square_series_basic.c
12(y) .c,Organized_C_Programs\Mathematics\reciprocal_power_series_basic.c,Mathematics,reciprocal_power_series_basic.c
12(y) _1.c,Organized_C_Programs\Mathematics\reciprocal_power_series_v2.c,Mathematics,reciprocal_power_series_v2.c
12.c,Organized_C_Programs\Mathematics\inverse_cube_series_v2.c,Mathematics,inverse_cube_series_v2.c
12_1.c,Organized_C_Programs\Mathematics\inverse_cube_series_basic.c,Mathematics,inverse_cube_series_basic.c
15.c,Organized_C_Programs\Mathematics\triangular_number_summation_v2.c,Mathematics,triangular_number_summation_v2.c
15_1.c,Organized_C_Programs\Mathematics\triangular_number_summation_basic.c,Mathematics,triangular_number_summation_basic.c
16(a) .c,Organized_C_Programs\Mathematics\numeric_series_summation_v2.c,Mathematics,numeric_series_summation_v2.c
16(a) _1.c,Organized_C_Programs\Mathematics\numeric_series_summation_basic.c,Mathematics,numeric_series_summation_basic.c
16(b) .c,Organized_C_Programs\Mathematics\sum_of_squares_series_v8.c,Mathematics,sum_of_squares_series_v8.c
16(b) _1.c,Organized_C_Programs\Mathematics\sum_of_squares_series_v4.c,Mathematics,sum_of_squares_series_v4.c
17.c,Organized_C_Programs\Basics\basic_io_program_v43.c,Basics,basic_io_program_v43.c
17_1.c,Organized_C_Programs\Basics\basic_io_program_v47.c,Basics,basic_io_program_v47.c
18.c,Organized_C_Programs\Basics\finding_greatest_number_v26.c,Basics,finding_greatest_number_v26.c
18_1.c,Organized_C_Programs\Basics\finding_greatest_number_v30.c,Basics,finding_greatest_number_v30.c
19.c,Organized_C_Programs\Basics\smallest_number_finder_v2.c,Basics,smallest_number_finder_v2.c
19_1.c,Organized_C_Programs\Basics\smallest_number_finder_basic.c,Basics,smallest_number_finder_basic.c
1_1.c,Organized_C_Programs\Patterns\nested_loop_pattern_v28.c,Patterns,nested_loop_pattern_v28.c
1_1_1.c,Organized_C_Programs\Patterns\nested_loop_pattern_v24.c,Patterns,nested_loop_pattern_v24.c
1_3.c,Organized_C_Programs\Patterns\nested_loop_pattern_v19.c,Patterns,nested_loop_pattern_v19.c
1_3_1.c,Organized_C_Programs\Patterns\nested_loop_pattern_v23.c,Patterns,nested_loop_pattern_v23.c
2016 calendar. c.c,Organized_C_Programs\Recursion\sum_of_digits_recursive_v6.c,Recursion,sum_of_digits_recursive_v6.c
2016 calendar. c_1.c,Organized_C_Programs\Recursion\sum_of_digits_recursive_formula_based.c,Recursion,sum_of_digits_recursive_formula_based.c
20230113-180921.c,Organized_C_Programs\Arrays\second_largest_number_finder_v4.c,Arrays,second_largest_number_finder_v4.c
20230113-180921_1.c,Organized_C_Programs\Arrays\second_largest_number_finder_v8.c,Arrays,second_largest_number_finder_v8.c
