original_name,topic,stage,purpose,category,new_filename,description
0ensns.c,Student Management System,complete,management_system,Mini_Projects,student_management_system.c,"Implements a student management system using a menu-driven interface to create, display, insert, search, and display all student records."
0ensns_1.c,Student Management System,complete,management_system,Mini_Projects,student_management_system_menu.c,Implements a menu-driven student management system using a simple text-based interface.
1+11+111.c,sum of repeated digit series,basic,implementation,Mathematics,repeated_digit_series.c,Calculates the sum of the repeated digit series up to n terms.
1+11+111_1.c,sum of repeated digit series,basic,implementation,Mathematics,repeated_digit_series.c,Calculates the sum of the repeated digit series up to n terms.
1-1_2+1_3-1_4.c,alternating harmonic series,basic,solver,Mathematics,alternating_harmonic_series.c,Calculates the sum of the alternating harmonic series up to n terms.
1-1_2+1_3-1_4_1.c,alternating harmonic series,basic,implementation,Mathematics,alternating_harmonic_series.c,Calculates the sum of the alternating harmonic series up to n terms.
10.c,square_root_calculation,basic,demonstration,Mathematics,square_root_table_generation.c,Generates a table of square roots from 1 to 9 using the sqrt function.
10_1.c,square_root_calculation,basic,demonstration,Mathematics,square_root_table_generation.c,Generates a table of square roots of integers from 1 to 9 using the sqrt function.
11.c,numbers divisible by 4 and leaving a remainder of 4 when divided by 5 and 6,basic,demonstration,Basics,numbers_divisible_by_4_and_remainder_4_when_divided_by_5_and_6.c,Finds and prints numbers between 7 and 100 that are divisible by 4 and leave a remainder of 4 when divided by 5 and 6.
11_1.c,numbers divisible by 4 and leaving a remainder of 4 when divided by 5 and 6,basic,demonstration,Basics,numbers_divisible_by_4_and_remainder_4_when_divided_by_5_and_6.c,Finds and prints numbers between 7 and 100 that are divisible by 4 and leave a remainder of 4 when divided by 5 and 6.
12(x) .c,inverse square series,basic,implementation,Mathematics,inverse_square_series.c,Calculates the sum of the inverse square series up to n terms.
12(x) _1.c,inverse square series,basic,implementation,Mathematics,inverse_square_series.c,Calculates the sum of the inverse square series up to n terms.
12(y) .c,inverse cube series,basic,implementation,Mathematics,inverse_cube_series.c,Calculates the sum of the inverse cube series up to n terms.
12(y) _1.c,inverse cube series,basic,implementation,Mathematics,inverse_cube_series.c,Calculates the sum of the inverse cube series up to n terms.
12.c,inverse cube series,basic,implementation,Mathematics,inverse_cube_series.c,Calculates the sum of the inverse cube series up to n terms.
12_1.c,inverse cube series,basic,implementation,Mathematics,inverse_cube_series.c,Calculates the sum of the inverse cube series up to n terms.
15.c,Triangular Numbers,basic,implementation,Mathematics,triangular_number_summation.c,Calculates the nth triangular number using the formula for the sum of an arithmetic series.
15_1.c,Triangular Number Calculation,basic,implementation,Mathematics,triangular_number_summation.c,Calculates the nth triangular number using a simple summation formula.
16(a) .c,sum of natural numbers,basic,implementation,Mathematics,sum_of_natural_numbers_series.c,Calculates the sum of the first n natural numbers using a simple iterative formula.
16(a) _1.c,sum of first n natural numbers,basic,implementation,Mathematics,sum_of_first_n_natural_numbers.c,Calculates the sum of the first n natural numbers using a simple iterative formula.
16(b) .c,sum of squares series,basic,implementation,Mathematics,sum_of_squares_series.c,Calculates the sum of the squares series up to n terms.
16(b) _1.c,sum of squares series,basic,implementation,Mathematics,sum_of_squares_series.c,Calculates the sum of the squares series up to n terms.
17.c,perfect_squares_up_to_n,basic,demonstration,Mathematics,perfect_squares_up_to_n.c,Generates perfect squares up to a given number n.
17_1.c,Perfect Squares,basic,demonstration,Mathematics,perfect_squares_up_to_n.c,Generates perfect squares up to a given limit.
18.c,Finding the greatest number,basic,implementation,Basics,finding_greatest_number.c,Finds the greatest number among n input numbers using a simple iterative approach.
18_1.c,Finding the greatest number,basic,solver,Basics,finding_greatest_number.c,Finds the greatest number among n input numbers using a simple iterative approach.
19.c,Finding the smallest number,basic,solver,Basics,smallest_number_finder.c,Finds the smallest number among a given set of numbers using a simple iterative approach.
19_1.c,Finding the smallest number,basic,solver,Basics,smallest_number_finder.c,Finds the smallest number among n input integers using a simple iterative approach.
1_1.c,Sorting,basic,implementation,Sorting,bubble_sort_ascending.c,Sorts an array of integers in ascending order using the bubble sort algorithm.
1_1_1.c,Sorting,basic,implementation,Sorting,bubble_sort_ascending.c,Sorts an array of integers in ascending order using the bubble sort algorithm.
1_3.c,Sorting,basic,implementation,Sorting,bubble_sort_ascending.c,Sorts an array of integers in ascending order using the bubble sort algorithm.
1_3_1.c,Sorting,basic,implementation,Sorting,bubble_sort_ascending.c,Sorts an array of integers in ascending order using the bubble sort algorithm.
2016 calendar. c.c,calendar_generation,complete,application,Mathematics,yearly_calendar_generator.c,Generates and prints a monthly calendar for a given year.
2016 calendar. c_1.c,calendar_generation,complete,application,Miscellaneous,yearly_calendar_generator.c,Generates and prints a monthly calendar for a given year.
20230111-064550.c,matrix comparison,basic,implementation,Arrays,matrix_equality_comparison.c,Compares two matrices for equality by checking if all corresponding elements are equal.
20230111-064550_1.c,matrix comparison,basic,implementation,Arrays,matrix_equality_comparison.c,Compares two matrices for equality by checking if all corresponding elements are equal.
20230113-180921.c,second largest number finder,basic,solver,Arrays,second_largest_number_finder.c,Finds the second largest number in an array of integers using a simple iterative approach.
20230113-180921_1.c,second largest number finder,basic,solver,Arrays,second_largest_number_finder.c,Finds the second largest number in an array of integers using a simple iterative approach.
20230221-071952.c,mathematical_concepts,intermediate,demonstration,Mathematics,multiple_mathematical_concepts_demo.c,"Demonstrates various mathematical concepts including swapping, HCF, palindrome, armstrong, strong numbers, sum of primes, fibonacci series, factorial, duplicate, deletion, sorting, trace of a matrix, upper triangular matrix, and matrix multiplication."
20230221-071952_1.c,mathematical_concepts,intermediate,demonstration,Mathematics,multiple_mathematical_concepts_demo.c,"Demonstrates various mathematical concepts including swapping, hcf, palindrome, armstrong, strong numbers, sum of primes, fibonacci series, factorial, duplicate, deleting, sorting, trace, and upper triangular matrix."
20230221-072653.c,mathematical_concepts,intermediate,demonstration,Mathematics,multiple_mathematical_concepts_demo.c,"Demonstrates various mathematical concepts including swapping, hcf, palindrome, armstrong, strong numbers, sum of primes, fibonacci series, factorial, duplicate, deleting, sorting, trace of a matrix, upper triangular matrix, and matrix multiplication."
20230221-072653_1.c,mathematical_concepts,intermediate,demonstration,Mathematics,multiple_mathematical_concepts_demo.c,"Demonstrates various mathematical concepts including swapping, HCF, palindrome, armstrong, strong numbers, sum of primes, fibonacci series, factorial, duplicate, deletion, sorting, trace of matrix, upper triangular matrix, and matrix multiplication."
20230315-011055.c,printing a box shape,basic,demonstration,Basics,box_shape_printer.c,Prints a box shape to the console using ASCII characters.
20230315-011055_1.c,printing a box with an arrow,basic,demonstration,Basics,boxed_arrow_pattern.c,Prints a boxed arrow pattern to the console.
20230509-020305.c,university_management_system,complete,management_system,Mini_Projects,university_management_system.c,"Manages student admissions, library, results, and employee salaries using various data structures and algorithms."
20230509-020305_1.c,university_management_system,complete,management_system,Mini_Projects,university_management_system.c,"Manages student admissions, library, results, and employee salaries using various data structures and algorithms."
20231001-130558.c,calendar_management,complete,application,Mini_Projects,calendar_event_manager.c,"Manages calendar events using a linked list data structure and provides functionality for displaying calendars, adding events, searching events, and sorting events by date."
20231001-130558_1.c,calendar management,complete,application,Mini_Projects,calendar_event_manager.c,"Manages calendar events using a linked list data structure and provides functionality for displaying, adding, searching, and sorting events."
22.c,Multiplication Table,basic,example,Basics,multiplication_table_generator.c,Generates a multiplication table for a given number up to 10 times.
22_1.c,Multiplication Table,basic,demonstration,Basics,multiplication_table_generator.c,Generates a multiplication table for a given number up to 10 times.
23.c,perfect number checker,basic,solver,Mathematics,perfect_number_checker.c,Determines whether a given number is perfect by summing its divisors.
23_1.c,perfect number checker,basic,solver,Mathematics,perfect_number_checker.c,Determines whether a given number is a perfect number by summing its divisors.
24.c,armstrong number checker,basic,solver,Mathematics,armstrong_number_checker.c,Determines whether a given number is an Armstrong number by summing the cubes of its digits and comparing the result to the original number.
24_1.c,armstrong number checker,basic,solver,Mathematics,armstrong_number_checker.c,Determines whether a given number is an Armstrong number by summing the cubes of its digits and comparing the result to the original number.
25.c,primality test,basic,solver,Mathematics,primality_test_by_divisor_counting.c,Determines whether a given number is prime by counting its divisors.
25_1.c,primality test,basic,solver,Mathematics,primality_test_by_divisor_counting.c,Determines whether a given number is prime by counting its divisors.
26.c,palindrome number checker,basic,implementation,Basics,integer_palindrome_checker.c,Checks whether a given integer is a palindrome using a simple iterative algorithm.
26_1.c,palindrome check,basic,implementation,Basics,integer_palindrome_check.c,Checks whether a given integer is a palindrome using a simple iterative algorithm.
27.c,Strong Number Checker,complete,solver,Mathematics,strong_number_checker.c,Determines whether a given number is a strong number by calculating the sum of the factorial of its digits.
27_1.c,strong number checker,intermediate,solver,Mathematics,strong_number_checker.c,Determines whether a given number is a strong number by calculating the sum of the factorial of its digits.
28 (1).c,number reversal,basic,utility,Basics,integer_reversal.c,Reverses a given integer using arithmetic operations.
28 (1)_1.c,number reversal,basic,utility,Basics,integer_reversal.c,Reverses a given integer using arithmetic operations.
28.c,number reversal,basic,implementation,Basics,integer_reversal.c,Reverses a given integer using a simple iterative algorithm.
28_1.c,number reversal,basic,utility,Basics,integer_reversal.c,Reverses a given integer using a simple iterative algorithm.
2akaka.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99322, Requested 2371. Please try again in 24m22.752s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
2akaka_1.c,ERROR,ERROR,ERROR,ERROR,ERROR,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kbpjphpvfns9z0cm9f44pjvq` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99322, Requested 2389. Please try again in 24m38.304s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
